,NAME,host_identity_verified,host.name,neighbourhood.group,neighbourhood,lat,long,instant_bookable,cancellation_policy,room.type,Construction.year,price,service.fee,minimum.nights,number.of.reviews,reviews.per.month,review.rate.number,calculated.host.listings.count,availability.365
28100,Sunny and Spacious 3 Bedroom near Central Park,unconfirmed,Christopher,Manhattan,Harlem,40.79998,-73.95633,TRUE,flexible,Entire home/apt,2009,$998 ,$200 ,3,18,0.97,2,1,20
38022,"""Home sweet Home""  Welcome friends",verified,Leonardo,Brooklyn,Williamsburg,40.70956,-73.96552,TRUE,moderate,Private room,2017,$998 ,$200 ,2,39,5.37,5,2,78
35592,Room in Astoria - 20min to  Manhattan,unconfirmed,Olivier & Priscilla,Queens,Ditmars Steinway,40.77033,-73.91008,TRUE,flexible,Private room,2016,$998 ,$200 ,2,5,0.53,5,1,0
96169,Perfect Pied-à-Terre,verified,Erika & Brett,Brooklyn,Greenpoint,40.7287,-73.95607,FALSE,strict,Entire home/apt,2019,$998 ,$200 ,2,19,1.51,5,1,81
58599,Spacious Ft Greene 2BR: Choice of 2 Private Rooms!,unconfirmed,Aaron,Brooklyn,Fort Greene,40.693,-73.97243,TRUE,strict,Private room,2019,$998 ,$200 ,2,9,1.49,5,1,40
72376,Cozy bed in Midtown,verified,Phuong,Manhattan,Midtown,40.74475,-73.98512,FALSE,moderate,Shared room,2021,$998 ,$200 ,5,32,0.69,2,3,0
5313,Oasis in a Brownstone,unconfirmed,Seun And Marie,Brooklyn,Bedford-Stuyvesant,40.68565,-73.93249,FALSE,strict,Private room,2019,$998 ,$200 ,2,43,0.72,3,7,22
9735,"Time Square, New York City Center. Quiet Oasis!",verified,Devin,Manhattan,Hell's Kitchen,40.75864,-73.99056,TRUE,flexible,Entire home/apt,2008,$998 ,$200 ,3,149,3.11,4,1,222
44446,Master Bed Room With Private Bathroom #1,verified,Jin Sen,Brooklyn,Bushwick,40.68757,-73.90961,FALSE,flexible,Private room,2016,$998 ,$200 ,1,9,4.22,3,1,262
79657,Huge 2BR Apartment. Walk to beach/buses,unconfirmed,Skender,Staten Island,Dongan Hills,40.57825,-74.08879,FALSE,strict,Entire home/apt,2005,$997 ,$199 ,4,45,1.66,1,1,134
24802,"Fun studio apartment in Washington Heights, NYC",unconfirmed,Cedric,Manhattan,Washington Heights,40.84851,-73.93207,FALSE,flexible,Entire home/apt,2018,$997 ,$199 ,3,6,0.25,3,1,0
57793,*** Gorgeous 2BD apt with Terrace ***,verified,Mike,Manhattan,Upper West Side,40.76905,-73.98515,TRUE,flexible,Entire home/apt,2018,$997 ,$199 ,5,22,0.29,2,1,38
22708,Private Room in Clinton Hill,verified,Laura,Brooklyn,Bedford-Stuyvesant,40.69234,-73.95993,TRUE,strict,Private room,2019,$997 ,$199 ,2,8,0.3,3,1,0
27279,2 Big bedrooms apartment in Brooklyn,verified,Alex,Brooklyn,Flatbush,40.6452,-73.95958,FALSE,flexible,Entire home/apt,2004,$997 ,$199 ,5,1,0.05,2,1,0
4575,Art Room + Backyard in Williamsburg,verified,Glasshouse,Brooklyn,Williamsburg,40.70667,-73.94921,FALSE,moderate,Private room,2022,$997 ,$199 ,3,22,0.36,5,2,166
80600,3 Bedroom Prewar Park Slope Apt - great 4 families,unconfirmed,Max,Brooklyn,Gowanus,40.66724,-73.99328,FALSE,flexible,Entire home/apt,2011,$997 ,$199 ,6,2,0.08,1,1,0
16298,"On Fifth, Across From Central Park",unconfirmed,Gerald,Manhattan,East Harlem,40.79485,-73.94868,FALSE,strict,Entire home/apt,2018,$997 ,$199 ,7,49,1.37,2,1,241
56840,RENO 3BR/1BA APT NEAR CENTRAL PARK W/WASHER/DRYER,unconfirmed,Inna,Manhattan,Upper West Side,40.795322,-73.962921,FALSE,moderate,Entire home/apt,2008,$997 ,$199 ,30,3,0.21,4,32,339
58427,Brooklyn Boho 3 Floor Townhouse,verified,Michelle,Brooklyn,Sunset Park,40.66314,-73.9954,TRUE,flexible,Entire home/apt,2020,$997 ,$199 ,2,78,1.4,2,1,241
43435,Clean and comfortable private room in NYC,verified,Teya,Bronx,Parkchester,40.83938,-73.85708,TRUE,moderate,Private room,2020,$997 ,$199 ,1,10,4.92,5,2,352
71308,Olivier,unconfirmed,Olivier,Manhattan,Upper West Side,40.78931,-73.9752,FALSE,flexible,Entire home/apt,2017,$996 ,$199 ,5,12,0.25,4,1,25
17998,Studio close to Central Park and Museum Mile,verified,Nikita,Manhattan,East Harlem,40.78992,-73.94888,FALSE,moderate,Entire home/apt,2004,$996 ,$199 ,2,5,0.14,5,1,0
72385,Charming duplex downtown manhattan,verified,Filippo,Manhattan,Chinatown,40.71475,-73.99257,FALSE,moderate,Entire home/apt,2012,$996 ,$199 ,180,15,0.35,4,1,365
17503,Comfy bed in Cozy Home - GRAND ARMY PLAZA,unconfirmed,Mary,Brooklyn,Prospect Heights,40.67403,-73.96798,FALSE,strict,Private room,2022,$996 ,$199 ,2,131,3.88,5,1,333
99135,2 bedrooms available• private garden • 2/5  train,unconfirmed,Jenni & Eric,Brooklyn,East Flatbush,40.65241,-73.95088,TRUE,strict,Private room,2020,$996 ,$199 ,2,51,5.5,4,1,34
1870,Large 2BR Apt in Brownstone,unconfirmed,Gabe And Jane,Brooklyn,Clinton Hill,40.68673,-73.96252,TRUE,flexible,Entire home/apt,2011,$996 ,$199 ,2,267,3.37,2,1,305
20331,1 Bedroom Apartment in Willimasburg,unconfirmed,Aude,Brooklyn,Williamsburg,40.71297,-73.93602,FALSE,strict,Private room,2010,$995 ,$199 ,7,2,0.07,1,1,12
87465,FEMALE ONLY,verified,Luqian,Brooklyn,Sunset Park,40.64025,-74.01735,FALSE,flexible,Private room,2009,$995 ,$199 ,4,2,0.06,5,1,0
1711,Upper East Side Oasis!,unconfirmed,Santina,Manhattan,Upper East Side,40.77032,-73.95331,FALSE,flexible,Private room,2015,$995 ,$199 ,2,138,2.06,2,1,94
50266,2 bed/2 bath garden apt in heart of Bushwick,unconfirmed,David,Brooklyn,Bushwick,40.69494,-73.90815,TRUE,flexible,Entire home/apt,2016,$995 ,$199 ,3,185,3.35,3,1,129
76204,Sweet 2 Bedroom In South BK,unconfirmed,Steven,Brooklyn,Bensonhurst,40.61238,-73.99805,TRUE,moderate,Entire home/apt,2022,$995 ,$199 ,3,54,1.72,5,1,61
32873,Private Bedroom in Midtown West with River View,verified,Evelyn,Manhattan,Hell's Kitchen,40.76201,-73.99876,FALSE,moderate,Private room,2005,$995 ,$199 ,3,4,0.31,4,1,0
42065,A budget friendly Greenpoint Studio!,verified,Max,Brooklyn,Greenpoint,40.73738,-73.95282,TRUE,strict,Entire home/apt,2011,$995 ,$199 ,2,7,1.89,3,3,14
93803,"Room #3 Bright, Quiet, Near Race-track and Casino",unconfirmed,Gregorio,Queens,South Ozone Park,40.6736,-73.82092,FALSE,flexible,Private room,2013,$995 ,$199 ,2,16,1.15,2,3,180
53229,Bright Brownstone 2BR BedStuy Apt,unconfirmed,Robin & Bob,Brooklyn,Bedford-Stuyvesant,40.68414,-73.92791,FALSE,strict,Entire home/apt,2003,$995 ,$199 ,2,267,3.35,4,1,111
85938,Williamsburg True 1 Bedroom Apartment,verified,Trista,Brooklyn,Williamsburg,40.70772,-73.95978,TRUE,flexible,Entire home/apt,2020,$995 ,$199 ,3,13,0.35,5,2,242
12912,Studio near GramercyPark w/ Kitchen,verified,Xinyan,Manhattan,Kips Bay,40.74195,-73.98242,FALSE,flexible,Entire home/apt,2015,$995 ,$199 ,2,4,0.11,5,1,128
69852,Perfect Midtown Apt E. 50th St,verified,Kiovanna,Manhattan,Midtown,40.75383,-73.96777,FALSE,moderate,Entire home/apt,2004,$995 ,$199 ,6,22,0.33,5,1,5
71143,Large private 1BR with backyard - Williamsburg,unconfirmed,Isabelle,Brooklyn,Williamsburg,40.71316,-73.95648,FALSE,strict,Entire home/apt,2013,$995 ,$199 ,7,7,0.1,1,1,0
77495,1 Bedroom Apartment in Willimasburg,unconfirmed,Aude,Brooklyn,Williamsburg,40.71297,-73.93602,FALSE,moderate,Private room,2010,$995 ,$199 ,7,2,0.07,1,1,12
75486,Luxury Apartment with Balcony,unconfirmed,Mj,Manhattan,Hell's Kitchen,40.75617,-73.99824,FALSE,flexible,Private room,2009,$994 ,$199 ,4,1,0.41,3,1,22
32783,Bronx 1 bedroom studio apartment,unconfirmed,Bettina,Bronx,Van Nest,40.84787,-73.86177,FALSE,flexible,Entire home/apt,2005,$994 ,$199 ,1,47,3.63,3,3,8
90762,Historical Addisleigh Park NYC,unconfirmed,Gerceida,Queens,St. Albans,40.69472,-73.77109,TRUE,flexible,Private room,2016,$994 ,$199 ,2,34,1.16,5,1,59
36317,LUXURY BEDROOM # 2. Ten mins from JFK/Casino,unconfirmed,Joseph,Queens,Jamaica,40.68627,-73.77633,FALSE,strict,Shared room,2015,$994 ,$199 ,1,17,1.84,4,4,141
36076,WILLIAMSBURG LUXURY BUILDING (BEST LOCATION),unconfirmed,Sofia,Brooklyn,Greenpoint,40.72108,-73.95215,TRUE,moderate,Entire home/apt,2004,$994 ,$199 ,5,5,0.52,4,1,0
67145,Nice and comfortable place very close to Manhattan,unconfirmed,Haroun,Queens,Sunnyside,40.73839,-73.92499,FALSE,strict,Private room,2016,$994 ,$199 ,2,1,0.05,2,1,256
93405,Super cozy private room in artist's apartment,unconfirmed,Aiko,Brooklyn,Bay Ridge,40.63164,-74.0292,FALSE,flexible,Private room,2009,$994 ,$199 ,2,12,0.73,4,1,0
36985,Large room next to Yankees 20 min from Manhattan,verified,Kenny,Bronx,Concourse,40.83007,-73.92251,FALSE,flexible,Private room,2020,$994 ,$199 ,3,19,2.27,5,1,67
100705,307 E 44th st 1BR great loc,verified,Raymond,Manhattan,Midtown,40.75006,-73.97007,TRUE,strict,Entire home/apt,2007,$993 ,$199 ,30,3,0.12,1,10,350
77497,1 Bedroom w. private bath 15min to Central Park.,unconfirmed,Carolina,Queens,Jackson Heights,40.75418,-73.88586,FALSE,strict,Private room,2015,$993 ,$199 ,2,14,0.51,5,1,1
89590,Williamsburg 2 BR Apartment! 1 stop to Manhattan,verified,Caroline & Georg,Brooklyn,Williamsburg,40.70944,-73.96161,TRUE,moderate,Entire home/apt,2008,$993 ,$199 ,2,23,0.72,3,2,11
26334,"Spacious, Modern Uptown Getaway with Balcony",verified,Wakahiu,Manhattan,East Harlem,40.80012,-73.94549,TRUE,moderate,Entire home/apt,2007,$993 ,$199 ,4,7,0.33,4,1,0
76932,Williamsburg 2 BR Apartment! 1 stop to Manhattan,verified,Caroline & Georg,Brooklyn,Williamsburg,40.70944,-73.96161,TRUE,flexible,Entire home/apt,2008,$993 ,$199 ,2,23,0.72,3,2,11
32850,Elegant and spacious apt in UWS - Cleaning Incl.,verified,Claudia,Manhattan,Upper West Side,40.79889,-73.97182,TRUE,strict,Entire home/apt,2014,$993 ,$199 ,2,3,0.25,4,1,0
65361,Brand NEW Large Studio * Midtown * Doorman* LUXURY,unconfirmed,Ellie And Jeff,Manhattan,Midtown,40.75245,-73.97068,TRUE,moderate,Entire home/apt,2011,$993 ,$199 ,30,2,0.2,4,5,184
99410,Small and cozy room in the heart of Williamsburg,unconfirmed,Carlos,Brooklyn,Williamsburg,40.71641,-73.95477,FALSE,moderate,Private room,2014,$993 ,$199 ,1,4,0.45,3,3,0
10167,"Quiet, Charming Studio in UES",unconfirmed,Kelsie,Manhattan,Upper East Side,40.77357,-73.94729,TRUE,strict,Entire home/apt,2009,$993 ,$199 ,2,48,1.02,3,1,199
4707,3 Bedroom Brownstone in Historic Crown Heights.,verified,Simone,Brooklyn,Crown Heights,40.66939,-73.94839,FALSE,moderate,Entire home/apt,2005,$993 ,$199 ,2,55,0.91,1,1,30
90717,"Huge Sunny Bedroom, 20 min to Times Square!",verified,Michael,Queens,Sunnyside,40.74171,-73.9254,FALSE,moderate,Private room,2009,$992 ,$198 ,6,23,0.76,5,1,0
94938,Triple Mint Townhouse in the heart of West Village,unconfirmed,Alexander,Manhattan,West Village,40.73722,-74.00263,FALSE,strict,Entire home/apt,2012,$992 ,$198 ,3,15,1.21,2,1,54
85289,Suite One at Bryant Manor,unconfirmed,Kevin,Manhattan,Harlem,40.80967,-73.95295,TRUE,strict,Entire home/apt,2014,$992 ,$198 ,2,136,3.51,1,2,170
66542,"Solo Room w/ friendly ambience, 15mins to Midtown",verified,Kaz,Queens,Sunnyside,40.73593,-73.92338,FALSE,flexible,Private room,2011,$992 ,$198 ,30,6,0.16,2,161,337
35634,Ft. Green/ Clinton Hill Downtown Brooklyn,verified,Arkell,Brooklyn,Fort Greene,40.68528,-73.97127,FALSE,moderate,Entire home/apt,2018,$992 ,$198 ,2,13,1.3,4,1,0
62622,Amazing room in uptown Manhattan,verified,Boris,Manhattan,Washington Heights,40.84886,-73.94335,TRUE,strict,Private room,2021,$992 ,$198 ,2,119,1.47,4,1,365
59358,Sweet quite bedroom in Ridgewood/bushwick,unconfirmed,Lai Ting,Queens,Glendale,40.69609,-73.89756,TRUE,moderate,Private room,2018,$992 ,$198 ,2,3,1.05,3,1,54
43405,Sonder | The Biltmore | Cozy Studio + Rooftop,unconfirmed,Sonder (NYC),Manhattan,Theater District,40.75948,-73.98615,TRUE,flexible,Entire home/apt,2011,$992 ,$198 ,29,1,0.6,5,327,193
65156,Beautiful Cozy BedRoom in a great location.,unconfirmed,Loyda,Manhattan,Harlem,40.80606,-73.95648,FALSE,moderate,Private room,2020,$992 ,$198 ,30,236,2.83,2,1,274
45699,"Spacious, modern, clean, rooftop, near all subways",unconfirmed,Duncan,Brooklyn,Boerum Hill,40.68475,-73.9871,FALSE,flexible,Entire home/apt,2004,$992 ,$198 ,14,3,2.25,3,1,0
36019,Private bedroom in 4 bedroom apt. in Tribeca,unconfirmed,Frederik,Manhattan,Civic Center,40.71638,-74.00419,TRUE,strict,Private room,2020,$992 ,$198 ,5,5,0.6,2,1,25
72499,Beautiful Upper West Side Studio,unconfirmed,Tara,Manhattan,Upper West Side,40.77795,-73.9825,FALSE,flexible,Entire home/apt,2012,$992 ,$198 ,2,1,0.02,1,1,0
86734,"Spacious, Affordable 1BR Apartment in Brooklyn",verified,Samantha,Brooklyn,East Flatbush,40.64286,-73.94839,TRUE,strict,Entire home/apt,2007,$991 ,$198 ,5,8,0.22,2,1,215
40855,Modern 3BR artsy Brooklyn duplex. New renovation,verified,Jenni,Brooklyn,Carroll Gardens,40.6827,-73.99142,TRUE,strict,Entire home/apt,2003,$991 ,$198 ,6,1,0.41,3,3,7
26700,Nice room in Harlem,verified,Devon,Manhattan,Harlem,40.82332,-73.94426,TRUE,moderate,Private room,2003,$991 ,$198 ,30,2,0.1,4,8,261
81060,Astoria Two Bed and Kitchen Minutes from subway,verified,Vik,Queens,Ditmars Steinway,40.77458,-73.92195,FALSE,strict,Entire home/apt,2013,$990 ,$198 ,3,61,2.46,3,5,62
96030,"Alisha’s Place-JFK 10 MINS, walk to subway & buses",unconfirmed,Alisha,Queens,Richmond Hill,40.69608,-73.8286,FALSE,flexible,Entire home/apt,2021,$990 ,$198 ,2,15,1.28,2,2,360
21106,맨하튼 소호 거리 주변 2인실,verified,Eunjin,Manhattan,Midtown,40.75329,-73.9888,FALSE,moderate,Private room,2016,$990 ,$198 ,2,1,0.03,5,1,0
29608,Cozy bedroom in the heart of Greenpoint,unconfirmed,Justyna,Brooklyn,Greenpoint,40.72904,-73.94885,FALSE,strict,Private room,2008,$990 ,$198 ,5,1,0.06,5,1,0
58217,Private Bedroom in New East Village Apartment,unconfirmed,Nick,Manhattan,East Village,40.72795,-73.98113,TRUE,strict,Private room,2020,$990 ,$198 ,50,6,0.35,5,2,173
76105,Private room in Sunnyside 2 46th St,unconfirmed,Nurcan,Queens,Sunnyside,40.73912,-73.92075,FALSE,strict,Private room,2003,$990 ,$198 ,1,168,4.93,5,3,322
98007,Private room in East Harlem,unconfirmed,Richie,Manhattan,East Harlem,40.79409,-73.94007,TRUE,moderate,Private room,2009,$990 ,$198 ,2,2,0.24,2,2,67
64760,"Renovated Chelsea/Hudson Yards studio,Washer/Dryer",unconfirmed,Michael,Manhattan,Chelsea,40.74873,-73.99556,TRUE,flexible,Entire home/apt,2020,$990 ,$198 ,155,8,0.11,4,20,205
17499,Cosy flat West Village,unconfirmed,Xavier,Manhattan,West Village,40.73316,-74.00183,TRUE,strict,Entire home/apt,2004,$989 ,$198 ,2,9,0.25,5,1,0
55064,Spacious room with easy commute to Grand Central!,verified,Kaz,Queens,Woodside,40.74527,-73.90885,FALSE,flexible,Private room,2010,$989 ,$198 ,30,5,0.18,5,161,356
77450,Designer's Rail-Road Apartment-Prime Williamsburg,verified,Siria,Brooklyn,Williamsburg,40.7092,-73.9506,TRUE,strict,Entire home/apt,2020,$989 ,$198 ,5,1,0.03,1,1,0
62429,Skyview Private Small Room,unconfirmed,Memo & Iso,Brooklyn,Bedford-Stuyvesant,40.6854,-73.93701,FALSE,moderate,Private room,2013,$989 ,$198 ,2,206,2.48,2,6,180
54921,City Gem 15 minutes from Midtown Manhattan,unconfirmed,Dharamdeo,Queens,Long Island City,40.75766,-73.93599,TRUE,moderate,Entire home/apt,2018,$989 ,$198 ,NA,57,1.74,5,1,95
2052,Park Slope LARGEST (private) SHARE IN PARK SLOPE,verified,Kevin,Brooklyn,Park Slope,40.67665,-73.97925,FALSE,strict,Private room,2022,$989 ,$198 ,2,163,2.13,1,1,147
9884,Private Room in Downtown Manhattan,unconfirmed,James,Manhattan,Chelsea,40.7438,-73.99751,FALSE,strict,Private room,2004,$989 ,$198 ,2,259,5.44,5,1,308
100373,Designer's Rail-Road Apartment-Prime Williamsburg,unconfirmed,Siria,Brooklyn,Williamsburg,40.7092,-73.9506,TRUE,moderate,Entire home/apt,2020,$989 ,$198 ,5,1,0.03,1,1,0
93777,Clean an comfortable apartment,verified,Eliana,Queens,Astoria,40.76641,-73.9193,FALSE,moderate,Private room,2021,$989 ,$198 ,3,6,0.42,3,1,156
57418,Cozy Private Bedroom and Bathroom in Brooklyn,verified,Sarah,Brooklyn,Bedford-Stuyvesant,40.68199,-73.95167,FALSE,flexible,Private room,2011,$989 ,$198 ,3,104,1.56,3,1,66
10392,Elegant Accommodation On A Budget!,verified,Nkatha,Manhattan,Harlem,40.81944,-73.9408,FALSE,flexible,Private room,2008,$989 ,$198 ,1,27,0.59,2,2,123
72845,Immaculate Bedroom,verified,Annesha,Queens,Jamaica,40.67068,-73.76711,TRUE,moderate,Private room,2005,$989 ,$198 ,5,29,0.64,1,1,314
83818,Private bedroom in East Village,verified,Victoria,Manhattan,Lower East Side,40.72269,-73.98862,TRUE,flexible,Private room,2003,$989 ,$198 ,3,23,1.1,3,1,28
85604,Spacious Town House near Park,verified,Heather,Brooklyn,Flatbush,40.65392,-73.95364,FALSE,strict,Entire home/apt,2015,$989 ,$198 ,15,7,0.19,1,1,361
70462,Group-Student-Friendly Bklyn House,unconfirmed,Steve And Heather,Brooklyn,East Flatbush,40.63612,-73.946,TRUE,flexible,Entire home/apt,2006,$989 ,$198 ,2,19,0.31,3,4,328
30844,Clean an comfortable apartment,verified,Eliana,Queens,Astoria,40.76641,-73.9193,TRUE,flexible,Private room,2021,$989 ,$198 ,3,6,0.42,3,1,156
101354,Large 2 bdrm loft with outdoor space + trains,verified,Claire,Brooklyn,Boerum Hill,40.68583,-73.98267,TRUE,moderate,Entire home/apt,2016,$988 ,$198 ,2,23,0.78,5,1,3
35925,纽约单一家庭住宅,verified,Xiaowen,Brooklyn,Crown Heights,40.67623,-73.91144,TRUE,flexible,Private room,2003,$988 ,$198 ,1,11,1.11,2,1,0
86372,"One room in beautiful 2BR apartment, Crown Heights",unconfirmed,Paloma,Brooklyn,Crown Heights,40.66741,-73.9522,FALSE,moderate,Private room,2009,$988 ,$198 ,12,2,0.09,2,1,241
98858,纽约单一家庭住宅,unconfirmed,Xiaowen,Brooklyn,Crown Heights,40.67623,-73.91144,FALSE,strict,Private room,2003,$988 ,$198 ,1,11,1.11,2,1,0
52328,"Clean, Private 2-Bedroom Garden Level Apartment",unconfirmed,Aron,Brooklyn,Windsor Terrace,40.64862,-73.97933,FALSE,moderate,Entire home/apt,2014,$988 ,$198 ,2,262,3.09,2,4,241
12771,Cute Apartment Near Prospect Park,unconfirmed,Nichole,Brooklyn,Flatbush,40.6502,-73.95509,TRUE,strict,Private room,2007,$988 ,$198 ,7,6,0.17,1,4,14
12216,Prime Location in CHELSEA,unconfirmed,Philipp,Manhattan,Chelsea,40.74601,-73.99987,FALSE,flexible,Private room,2010,$988 ,$198 ,1,1,0.02,2,1,225
5181,Rest your head-West Side Manhattan,verified,Samuel,Manhattan,Hell's Kitchen,40.76215,-73.99036,FALSE,moderate,Private room,2009,$988 ,$198 ,3,133,2.25,3,1,53
2004,1  Bedroom in Clinton Hill Share,unconfirmed,Autumn,Brooklyn,Clinton Hill,40.69494,-73.96372,FALSE,strict,Private room,2007,$988 ,$198 ,2,102,1.41,4,3,335
62495,Easy Parking !!Med students home!!Near transit,verified,Amadu,Brooklyn,Canarsie,40.64841,-73.89884,FALSE,flexible,Private room,2009,$988 ,$198 ,3,7,0.63,4,1,364
64938,Exclusive Private Boutique Hotel Room at Times SQ,verified,Blake,Manhattan,Hell's Kitchen,40.76163,-73.98678,TRUE,flexible,Private room,2021,$987 ,$197 ,1,3,0.36,5,66,364
54695,East Elmhurst  Rear Walk-in Masterbedroom,verified,Rafael,Queens,East Elmhurst,40.76088,-73.86886,TRUE,strict,Private room,2005,$987 ,$197 ,1,63,1.63,2,3,318
69623,Charming 1br in of NYC's best Neighborhood!,verified,Jon,Manhattan,NoHo,40.7256,-73.99445,TRUE,strict,Entire home/apt,2021,$987 ,$197 ,20,29,0.37,1,1,302
73226,Crown Heights Greenroom,verified,Michael,Brooklyn,Crown Heights,40.67641,-73.95736,FALSE,flexible,Private room,2016,$987 ,$197 ,5,1,0.06,2,1,0
85370,"Large, beautiful 1 bedroom downtown Manhattan",unconfirmed,Cristina,Manhattan,Chinatown,40.7164,-73.99743,TRUE,moderate,Entire home/apt,2006,$987 ,$197 ,30,4,0.11,1,1,290
37563,"Modern, comfy, and cool",unconfirmed,Rachel,Brooklyn,Bushwick,40.69222,-73.90695,TRUE,flexible,Entire home/apt,2008,$987 ,$197 ,3,22,2.89,3,1,50
98584,Ultra Luxury TriBeCa LOFT!,verified,Valerie,Manhattan,Civic Center,40.71317,-74.00654,FALSE,moderate,Entire home/apt,2006,$987 ,$197 ,2,42,4.33,3,1,42
90385,Serene atmosphere in Manhattan,unconfirmed,Natalia,Manhattan,Inwood,40.87247,-73.91927,TRUE,flexible,Private room,2004,$987 ,$197 ,2,11,0.36,5,1,29
56466,138 Bowery-Classic King Studio,verified,Jeniffer,Manhattan,Chinatown,40.71863,-73.99562,FALSE,moderate,Entire home/apt,2015,$987 ,$197 ,15,23,1.1,5,51,72
23455,Thee Bohemian BNB Astoria,verified,Matt,Queens,Astoria,40.77126,-73.92088,FALSE,strict,Private room,2012,$987 ,$197 ,1,54,2.21,4,1,73
76374,Beautiful Private Room near Columbia University,verified,Gabriel,Manhattan,Morningside Heights,40.80751,-73.96619,TRUE,moderate,Private room,2016,$987 ,$197 ,2,5,0.15,4,2,0
4724,Cozy UWS Apt Close to Central Park / Times Square,unconfirmed,Fate,Manhattan,Upper West Side,40.7995,-73.96965,TRUE,moderate,Entire home/apt,2021,$987 ,$197 ,4,2,0.06,5,1,161
32862,Light filled Brooklyn apartment with deck!,verified,Jeremiah,Brooklyn,Park Slope,40.66775,-73.97738,FALSE,moderate,Entire home/apt,2013,$987 ,$197 ,4,5,0.4,4,1,0
56281,BALCONY Private Two Beds & One Bath Near Manhattan,verified,Alexander,Queens,Woodside,40.74258,-73.91142,TRUE,strict,Entire home/apt,2005,$987 ,$197 ,1,3,1.05,2,7,329
39264,Flushing downtown large single room,verified,Vicky,Queens,Flushing,40.74444,-73.83281,TRUE,flexible,Private room,2018,$986 ,$197 ,1,15,2.28,4,6,137
43302,"DEMETRIO’S ROOM
Close to JFK and LGA Airport",verified,Marcelo Y Lucio,Queens,Elmhurst,40.72997,-73.87183,FALSE,flexible,Private room,2008,$986 ,$197 ,1,20,6.38,4,4,365
40400,Luxury One Bedroom Apartment (Midtown Manhattan),unconfirmed,Taisiya,Manhattan,Hell's Kitchen,40.76509,-73.99508,FALSE,moderate,Entire home/apt,2010,$986 ,$197 ,6,1,0.18,4,1,3
77527,New Year's Eve Time Square,verified,Denise,Manhattan,Midtown,40.75073,-73.98439,FALSE,moderate,Private room,2016,$986 ,$197 ,3,1,0.03,5,1,0
98664,"Sunny, central and comfortable!",verified,Ameera,Manhattan,Upper East Side,40.77619,-73.95325,FALSE,flexible,Private room,2007,$986 ,$197 ,3,5,0.52,3,2,56
37749,Adorable Chelsea Studio in best neighborhood!,unconfirmed,Kathryn,Manhattan,Chelsea,40.74333,-74.00106,FALSE,moderate,Entire home/apt,2004,$986 ,$197 ,1,8,1.22,5,1,0
99651,Lovely 2 Bedroom with Balcony on UWS,verified,Kaya,Manhattan,Upper West Side,40.79039,-73.96789,FALSE,flexible,Entire home/apt,2007,$986 ,$197 ,4,9,0.37,1,1,0
1288,Feels like home with park view,unconfirmed,Yah,Manhattan,Inwood,40.86821,-73.92252,TRUE,moderate,Entire home/apt,2016,$986 ,$197 ,10,25,0.3,5,1,207
73560,♔ 1min to Center of Times Square & 42nd St. ♔,unconfirmed,Edwin,Manhattan,Hell's Kitchen,40.75869,-73.99068,TRUE,strict,Private room,2009,$986 ,$197 ,2,19,1.33,4,1,166
49214,"Private Room Near JFK, St John's Hospital, & Beach",unconfirmed,Phoenix,Queens,Bayswater,40.60804,-73.75829,FALSE,flexible,Private room,2013,$986 ,$197 ,3,1,1,5,2,90
19463,A sunny healthy big bedroom,unconfirmed,Kartika,Queens,Elmhurst,40.74262,-73.87907,FALSE,moderate,Private room,2009,$985 ,$197 ,2,100,3.05,5,1,296
97878,"Charming Chelsea Bungalow w/
Large Outdoor Terrace",verified,Francesca,Manhattan,Chelsea,40.74557,-73.99871,TRUE,strict,Entire home/apt,2010,$985 ,$197 ,2,14,1.51,5,1,28
47094,Beautiful apartment in the heart of Harlem,unconfirmed,Mamadou,Manhattan,East Harlem,40.80837,-73.93937,FALSE,flexible,Entire home/apt,2009,$985 ,$197 ,5,4,4,3,1,285
64865,"Cozy, quiet 2bed steps from the best of Brooklyn!",verified,Erin,Brooklyn,Crown Heights,40.6723,-73.96088,TRUE,strict,Entire home/apt,2010,$985 ,$197 ,10,1,0.12,5,1,0
49586,Serene Studio in Brooklyn,unconfirmed,Jenni,Brooklyn,Carroll Gardens,40.68373,-73.99494,TRUE,strict,Entire home/apt,2017,$985 ,$197 ,2,193,3.85,2,2,106
83189,Big cozy private room next to the Park,verified,Mariana,Brooklyn,Flatbush,40.65247,-73.96399,TRUE,moderate,Private room,2012,$985 ,$197 ,3,1,0.05,4,3,0
40044,Private room in a quiet apartment,unconfirmed,Yemi,Queens,Rosedale,40.65433,-73.73638,TRUE,flexible,Private room,2019,$985 ,$197 ,1,3,0.47,3,3,46
38855,Clean + Comfortable Bedroom in West Harlem,unconfirmed,Dystini,Manhattan,Harlem,40.82631,-73.95201,FALSE,flexible,Private room,2014,$985 ,$197 ,1,3,1.41,2,1,8
36497,Cozy Private Room,verified,Igam,Brooklyn,Gravesend,40.59075,-73.98359,TRUE,flexible,Private room,2005,$985 ,$197 ,2,10,1.11,5,2,0
34945,"Charming Chelsea Bungalow w/
Large Outdoor Terrace",unconfirmed,Francesca,Manhattan,Chelsea,40.74557,-73.99871,TRUE,flexible,Entire home/apt,2010,$985 ,$197 ,2,14,1.51,5,1,28
